name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Orval Trappist Ale,Brasserie d'Orval S.A.,Belgium,Belgian Pale AleRanked #1,Belgian Pale Ale,Ranked #1, 6.2%,"93Ranked #2,932",93,"Ranked #2,932",4.2 | pDev: 12.38%,4.2,12.38%,"2,519","5,873",Active,"Sep 18, 2001"
Rare Vos Amber Ale,Brewery Ommegang,"New York, United States",Belgian Pale AleRanked #2,Belgian Pale Ale,Ranked #2, 6.5%,"91Ranked #7,479",91,"Ranked #7,479",4.07 | pDev: 10.81%,4.07,10.81%,"1,208","3,518",Active,"Sep 24, 2000"
Samuel Adams Belgian Session,Boston Beer Company (Samuel Adams),"Massachusetts, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 4.25%,76,76,Na,3.33 | pDev: 14.71%,3.33,14.71%,245,"1,222",Active,"Jan 09, 2012"
Palm / Palm Speciale,Brouwerij Palm NV,Belgium,Belgian Pale AleRanked #130,Belgian Pale Ale,Ranked #130, 5.2%,"76Ranked #27,679",76,"Ranked #27,679",3.32 | pDev: 16.57%,3.32,16.57%,317,"1,149",Active,"May 04, 2002"
Karma,Avery Brewing Company,"Colorado, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.2%,78,78,Na,3.4 | pDev: 12.94%,3.4,12.94%,492,999,Active,"Apr 08, 2005"
Luciérnaga,Jolly Pumpkin Artisan Ales,"Michigan, United States",Belgian Pale AleRanked #5,Belgian Pale Ale,Ranked #5, 6.5%,"90Ranked #8,895",90,"Ranked #8,895",4.04 | pDev: 10.15%,4.04,10.15%,394,978,Active,"Oct 28, 2004"
A Little Crazy,Revolution Brewing,"Illinois, United States",Belgian Pale AleRanked #7,Belgian Pale Ale,Ranked #7, 6.8%,"90Ranked #9,809",90,"Ranked #9,809",4.02 | pDev: 9.45%,4.02,9.45%,120,857,Active,"Jan 20, 2012"
Blue Moon Rounder Belgian-Style Pale,Blue Moon Brewing Company,"Colorado, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 5.6%,72,72,Na,3.13 | pDev: 15.65%,3.13,15.65%,86,809,Active,"Feb 19, 2013"
Hop House,Brewery Ommegang,"New York, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6%,85,85,Na,3.78 | pDev: 10.32%,3.78,10.32%,126,807,Active,"Dec 14, 2013"
Raftman,Unibroue,"Quebec, Canada",Belgian Pale AleRanked #33,Belgian Pale Ale,Ranked #33, 5.5%,"87Ranked #17,680",87,"Ranked #17,680",3.86 | pDev: 11.4%,3.86,11.4%,424,798,Active,"Mar 06, 2001"
Verboten,Weyerbacher Brewing Co.,"Pennsylvania, United States",Belgian Pale AleRanked #67,Belgian Pale Ale,Ranked #67, 5.9%,"85Ranked #21,775",85,"Ranked #21,775",3.76 | pDev: 11.44%,3.76,11.44%,320,742,Active,"May 21, 2010"
Stone Soup,New Glarus Brewing Company,"Wisconsin, United States",Belgian Pale AleRanked #61,Belgian Pale Ale,Ranked #61, 5.3%,"85Ranked #21,407",85,"Ranked #21,407",3.77 | pDev: 11.14%,3.77,11.14%,303,628,Active,"Feb 14, 2007"
Liquid Gold,Captain Lawrence Brewing Co.,"New York, United States",Belgian Pale Ale,Belgian Pale Ale,Na, 6%,86,86,Na,3.81 | pDev: 12.07%,3.81,12.07%,177,617,Active,"Feb 04, 2006"
