name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Funeral Bock,Wayfinder Beer,"Oregon, United States",BockRanked #1,Bock,Ranked #1, 7%,"92Ranked #4,908",92,"Ranked #4,908",4.19 | pDev: 4.53%,4.19,4.53%,16,41,Active,"Oct 19, 2019"
Bourbon Love Honey (Barrel-Aged Bock),Lost Forty Brewing,"Arkansas, United States",BockRanked #2,Bock,Ranked #2, 7.5%,"91Ranked #6,411",91,"Ranked #6,411",4.17 | pDev: 15.59%,4.17,15.59%,7,26,Active,"Feb 15, 2015"
Christmas Bock,Enegren Brewing Company,"California, United States",BockRanked #3,Bock,Ranked #3, 7.2%,"91Ranked #7,528",91,"Ranked #7,528",4.16 | pDev: 5.05%,4.16,5.05%,12,19,Active,"Dec 18, 2021"
Mystic Bock,Arches Brewing,"Georgia, United States",BockRanked #4,Bock,Ranked #4, 7.3%,"91Ranked #6,885",91,"Ranked #6,885",4.24 | pDev: 5.9%,4.24,5.9%,5,12,Active,"Dec 28, 2016"
Genuine Bock Beer,Pipeworks Brewing Company,"Illinois, United States",BockRanked #5,Bock,Ranked #5, 6.66%,"90Ranked #9,383",90,"Ranked #9,383",4.07 | pDev: 4.91%,4.07,4.91%,14,31,Active,"Dec 11, 2018"
Holiday Bock,Dovetail Brewery,"Illinois, United States",BockRanked #6,Bock,Ranked #6, 6.9%,"90Ranked #9,542",90,"Ranked #9,542",4.07 | pDev: 5.9%,4.07,5.9%,10,28,Active,"Nov 24, 2016"
La Trappe Bockbier,Bierbrouwerij De Koningshoeven B.V.,Netherlands,BockRanked #7,Bock,Ranked #7, 7%,"89Ranked #11,802",89,"Ranked #11,802",3.98 | pDev: 9.55%,3.98,9.55%,125,306,Active,"Mar 01, 2005"
Kneitinger Bock,Brauerei Johann Kneitinger,Germany,BockRanked #8,Bock,Ranked #8, 6.8%,"90Ranked #8,734",90,"Ranked #8,734",4.14 | pDev: 7.49%,4.14,7.49%,7,15,Active,"Feb 05, 2007"
Aass Bock,Aass Brewery,Norway,BockRanked #9,Bock,Ranked #9, 6.5%,"89Ranked #11,796",89,"Ranked #11,796",3.99 | pDev: 12.28%,3.99,12.28%,41,67,Active,"Nov 18, 2000"
Baphomet,Revolution Brewing,"Illinois, United States",BockRanked #10,Bock,Ranked #10, 6.66%,"89Ranked #11,026",89,"Ranked #11,026",4.02 | pDev: 7.46%,4.02,7.46%,14,37,Active,"Mar 18, 2011"
Burkhart,Schilling Beer Co.,"New Hampshire, United States",BockRanked #11,Bock,Ranked #11, 7%,"90Ranked #9,539",90,"Ranked #9,539",4.1 | pDev: 6.59%,4.1,6.59%,4,17,Active,"Oct 26, 2020"
St. Nikolaus Bock Bier,Pennsylvania Brewing Company,"Pennsylvania, United States",BockRanked #12,Bock,Ranked #12, 6%,"88Ranked #13,231",88,"Ranked #13,231",3.95 | pDev: 11.39%,3.95,11.39%,229,449,Active,"Dec 03, 2002"
Lifesblood,Old Irving Brewing Co.,"Illinois, United States",BockRanked #13,Bock,Ranked #13, 6%,"90Ranked #10,441",90,"Ranked #10,441",4.1 | pDev: 4.39%,4.1,4.39%,7,12,Active,"Feb 09, 2021"
Winterhammer,Schilling Beer Co.,"New Hampshire, United States",BockRanked #14,Bock,Ranked #14, 6.9%,"89Ranked #11,938",89,"Ranked #11,938",4.02 | pDev: 4.98%,4.02,4.98%,6,18,Active,"Jan 17, 2020"
Thumbprint Mocha Berry Bock,New Glarus Brewing Company,"Wisconsin, United States",BockRanked #15,Bock,Ranked #15,Not listed,"88Ranked #13,434",88,"Ranked #13,434",3.96 | pDev: 8.33%,3.96,8.33%,15,34,Active,"Oct 04, 2021"
Motor Goat,Old Ox Brewery,"Virginia, United States",BockRanked #16,Bock,Ranked #16, 6%,"89Ranked #11,331",89,"Ranked #11,331",4.08 | pDev: 6.13%,4.08,6.13%,6,10,Active,"Oct 25, 2020"
Beer For Burgers,Off Color Brewing,"Illinois, United States",BockRanked #17,Bock,Ranked #17, 7%,"88Ranked #14,317",88,"Ranked #14,317",3.94 | pDev: 7.61%,3.94,7.61%,11,28,Active,"Jun 29, 2020"
Battlefield Bock,Red Oak Brewery,"North Carolina, United States",BockRanked #18,Bock,Ranked #18, 6.5%,"87Ranked #15,760",87,"Ranked #15,760",3.9 | pDev: 13.33%,3.9,13.33%,20,75,Active,"May 19, 2008"
Velvet Hammer Bock,Great Dane Pub & Brewing Company (Downtown),"Wisconsin, United States",BockRanked #19,Bock,Ranked #19, 6.8%,"88Ranked #14,665",88,"Ranked #14,665",3.93 | pDev: 11.2%,3.93,11.2%,16,32,Active,"Sep 21, 2002"
Winterbock,Bitburger Brauerei,Germany,BockRanked #20,Bock,Ranked #20, 7%,"89Ranked #12,941",89,"Ranked #12,941",4.01 | pDev: 7.48%,4.01,7.48%,6,11,Active,"Jan 11, 2021"
LAG Lagunator Lager,Lagunitas Brewing Company,"California, United States",BockRanked #21,Bock,Ranked #21, 7.7%,"87Ranked #17,540",87,"Ranked #17,540",3.86 | pDev: 8.81%,3.86,8.81%,47,133,Active,"Mar 30, 2017"
Schell's Bock,August Schell Brewing Company,"Minnesota, United States",BockRanked #22,Bock,Ranked #22, 6.1%,"87Ranked #18,049",87,"Ranked #18,049",3.85 | pDev: 11.95%,3.85,11.95%,98,228,Active,"Feb 07, 2009"
10-Point Bock,Bubba Brew's Brewing Company,"Arkansas, United States",BockRanked #23,Bock,Ranked #23, 6.2%,"88Ranked #14,002",88,"Ranked #14,002",3.97 | pDev: 14.11%,3.97,14.11%,6,11,Active,"Jun 23, 2015"
Urbock,Camelthorn Brewing Company Ltd,Namibia,BockRanked #24,Bock,Ranked #24, 7%,"87Ranked #16,131",87,"Ranked #16,131",3.89 | pDev: 11.83%,3.89,11.83%,21,26,Active,"Dec 02, 2002"
Pfungstädter St. Nikolaus,Pfungstädter Brauerei,Germany,BockRanked #25,Bock,Ranked #25, 6.9%,"87Ranked #16,129",87,"Ranked #16,129",3.89 | pDev: 7.71%,3.89,7.71%,15,25,Active,"Dec 04, 2004"
Columbia,The Conrad Seipp Brewing Company,"Illinois, United States",BockRanked #26,Bock,Ranked #26, 6%,"87Ranked #15,879",87,"Ranked #15,879",3.9 | pDev: 8.46%,3.9,8.46%,11,20,Active,"Feb 19, 2021"
Uff-da,New Glarus Brewing Company,"Wisconsin, United States",BockRanked #27,Bock,Ranked #27, 6.7%,"86Ranked #19,006",86,"Ranked #19,006",3.83 | pDev: 10.97%,3.83,10.97%,342,663,Active,"Jan 16, 2002"
