name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Feierling Inselhopf,Hausbrauerei Feierling,Germany,Kellerbier / ZwickelbierRanked #1,Kellerbier / Zwickelbier,Ranked #1, 5%,"94Ranked #2,256",94,"Ranked #2,256",4.41 | pDev: 11.79%,4.41,11.79%,6,19,Active,"Aug 10, 2004"
Mönchsambacher Lager,Zehendner Brauerei,Germany,Kellerbier / ZwickelbierRanked #2,Kellerbier / Zwickelbier,Ranked #2, 5.5%,"94Ranked #2,766",94,"Ranked #2,766",4.26 | pDev: 10.8%,4.26,10.8%,33,59,Active,"Jan 18, 2005"
Föhn,Fox Farm Brewery,"Connecticut, United States",Kellerbier / ZwickelbierRanked #3,Kellerbier / Zwickelbier,Ranked #3, 5.6%,"93Ranked #3,599",93,"Ranked #3,599",4.22 | pDev: 5.45%,4.22,5.45%,19,59,Active,"Jun 14, 2019"
Ms. Frank,Suarez Family Brewery,"New York, United States",Kellerbier / ZwickelbierRanked #4,Kellerbier / Zwickelbier,Ranked #4, 5.2%,"92Ranked #4,408",92,"Ranked #4,408",4.18 | pDev: 5.02%,4.18,5.02%,25,77,Active,"Jul 23, 2016"
Kellerpils,Zillicoah Beer Company,"North Carolina, United States",Kellerbier / ZwickelbierRanked #5,Kellerbier / Zwickelbier,Ranked #5, 4.9%,"92Ranked #4,928",92,"Ranked #4,928",4.33 | pDev: 6%,4.33,6%,7,12,Active,"May 18, 2018"
Hanse,Schilling Beer Co.,"New Hampshire, United States",Kellerbier / ZwickelbierRanked #6,Kellerbier / Zwickelbier,Ranked #6, 5%,"92Ranked #5,793",92,"Ranked #5,793",4.14 | pDev: 4.83%,4.14,4.83%,21,67,Active,"Jan 16, 2015"
State Pils,Suarez Family Brewery,"New York, United States",Kellerbier / ZwickelbierRanked #7,Kellerbier / Zwickelbier,Ranked #7, 4.7%,"92Ranked #5,894",92,"Ranked #5,894",4.15 | pDev: 6.51%,4.15,6.51%,17,49,Active,"Apr 07, 2019"
STiVO,Firestone Walker Brewing Co.,"California, United States",Kellerbier / ZwickelbierRanked #8,Kellerbier / Zwickelbier,Ranked #8, 5.3%,"91Ranked #6,459",91,"Ranked #6,459",4.11 | pDev: 6.57%,4.11,6.57%,19,110,Active,"May 17, 2016"
Zwickel Beer,Notch Brewing,"Massachusetts, United States",Kellerbier / ZwickelbierRanked #9,Kellerbier / Zwickelbier,Ranked #9, 4.5%,"91Ranked #6,683",91,"Ranked #6,683",4.12 | pDev: 6.31%,4.12,6.31%,19,59,Active,"Mar 12, 2016"
Weihenstephaner 1516 Kellerbier,Bayerische Staatsbrauerei Weihenstephan,Germany,Kellerbier / ZwickelbierRanked #10,Kellerbier / Zwickelbier,Ranked #10, 5.6%,"91Ranked #7,603",91,"Ranked #7,603",4.07 | pDev: 8.35%,4.07,8.35%,230,562,Active,"Feb 15, 2016"
Keller Pils,Wooly Pig Farm Brewery,"Ohio, United States",Kellerbier / ZwickelbierRanked #11,Kellerbier / Zwickelbier,Ranked #11, 4.9%,"91Ranked #7,387",91,"Ranked #7,387",4.19 | pDev: 8.83%,4.19,8.83%,10,15,Active,"Dec 20, 2017"
Alpirsbacher Klosterbräu Kloster Zwickel,Alpirsbacher Klosterbräu,Germany,Kellerbier / ZwickelbierRanked #12,Kellerbier / Zwickelbier,Ranked #12, 5.4%,"91Ranked #8,124",91,"Ranked #8,124",4.17 | pDev: 6.95%,4.17,6.95%,5,14,Active,"Dec 10, 2014"
Sovereign Pils,Brewery Silvaticus,"Massachusetts, United States",Kellerbier / ZwickelbierRanked #13,Kellerbier / Zwickelbier,Ranked #13, 5.3%,"91Ranked #8,118",91,"Ranked #8,118",4.17 | pDev: 6.24%,4.17,6.24%,4,14,Active,"Sep 17, 2017"
Ungespundetes,Brauerei Spezial,Germany,Kellerbier / ZwickelbierRanked #14,Kellerbier / Zwickelbier,Ranked #14, 5%,"90Ranked #8,578",90,"Ranked #8,578",4.12 | pDev: 10.68%,4.12,10.68%,11,20,Active,"Dec 15, 2004"
Stiegl Paracelsus Hausbier,Stieglbrauerei zu Salzburg GmbH,Austria,Kellerbier / ZwickelbierRanked #15,Kellerbier / Zwickelbier,Ranked #15, 5%,"90Ranked #8,326",90,"Ranked #8,326",4.18 | pDev: 11.24%,4.18,11.24%,4,12,Active,"Apr 14, 2010"
