name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Budweiser Select 55,Anheuser-Busch,"Missouri, United States",Light LagerRanked #171,Light Lager,Ranked #171, 2.4%,"43Ranked #28,885",43,"Ranked #28,885",1.65 | pDev: 42.42%,1.65,42.42%,167,630,Active,"Sep 09, 2009"
Natural Light,Anheuser-Busch,"Missouri, United States",Light LagerRanked #170,Light Lager,Ranked #170, 4.2%,"45Ranked #28,884",45,"Ranked #28,884",1.76 | pDev: 48.3%,1.76,48.3%,633,"2,394",Active,"Sep 16, 2001"
Sharp's,Miller Brewing Co.,"Wisconsin, United States",Low-Alcohol BeerRanked #128,Low-Alcohol Beer,Ranked #128, 0.4%,"46Ranked #28,883",46,"Ranked #28,883",1.72 | pDev: 45.93%,1.72,45.93%,53,174,Active,"Aug 29, 2002"
Keystone Light,Coors Brewing Company (Molson-Coors),"Colorado, United States",Light LagerRanked #168,Light Lager,Ranked #168, 4.1%,"46Ranked #28,882",46,"Ranked #28,882",1.84 | pDev: 41.3%,1.84,41.3%,554,"2,194",Active,"Oct 25, 2001"
Beer 30 Light,Melanie Brewing Company,"Wisconsin, United States",Light LagerRanked #169,Light Lager,Ranked #169, 4%,"47Ranked #28,881",47,"Ranked #28,881",1.66 | pDev: 41.57%,1.66,41.57%,53,105,Active,"Sep 24, 2006"
Natural Ice,Anheuser-Busch,"Missouri, United States",American Adjunct LagerRanked #312,American Adjunct Lager,Ranked #312, 5.9%,"47Ranked #28,880",47,"Ranked #28,880",1.85 | pDev: 45.95%,1.85,45.95%,422,"1,589",Active,"Oct 03, 2001"
Miller 64,Miller Brewing Co.,"Wisconsin, United States",Light LagerRanked #167,Light Lager,Ranked #167, 2.8%,"47Ranked #28,879",47,"Ranked #28,879",1.84 | pDev: 38.04%,1.84,38.04%,249,841,Active,"Jun 04, 2008"
Milwaukee's Best Light,Miller Brewing Co.,"Wisconsin, United States",Light LagerRanked #166,Light Lager,Ranked #166, 4.2%,"47Ranked #28,878",47,"Ranked #28,878",1.84 | pDev: 40.76%,1.84,40.76%,192,738,Active,"Mar 23, 2002"
Bud Light,Anheuser-Busch,"Missouri, United States",Light LagerRanked #164,Light Lager,Ranked #164, 4.2%,"47Ranked #28,877",47,"Ranked #28,877",1.88 | pDev: 38.83%,1.88,38.83%,"1,617","6,662",Active,"Aug 22, 2001"
Milwaukee's Best,Miller Brewing Co.,"Wisconsin, United States",American Adjunct LagerRanked #310,American Adjunct Lager,Ranked #310, 4.8%,"48Ranked #28,876",48,"Ranked #28,876",1.89 | pDev: 39.15%,1.89,39.15%,290,845,Active,"Aug 18, 2001"
Busch Ice,Anheuser-Busch,"Missouri, United States",American Adjunct LagerRanked #311,American Adjunct Lager,Ranked #311, 5.9%,"48Ranked #28,875",48,"Ranked #28,875",1.87 | pDev: 43.85%,1.87,43.85%,92,368,Active,"Apr 25, 2002"
Bud Ice,Anheuser-Busch,"Missouri, United States",American Adjunct LagerRanked #308,American Adjunct Lager,Ranked #308, 5.5%,"49Ranked #28,874",49,"Ranked #28,874",1.94 | pDev: 41.24%,1.94,41.24%,337,"1,276",Active,"Oct 02, 2001"
Busch Light,Anheuser-Busch,"Missouri, United States",Light LagerRanked #163,Light Lager,Ranked #163, 4.1%,"49Ranked #28,873",49,"Ranked #28,873",1.95 | pDev: 42.56%,1.95,42.56%,498,"1,865",Active,"Nov 28, 2001"
Michelob Ultra,Anheuser-Busch,"Missouri, United States",Light LagerRanked #161,Light Lager,Ranked #161, 4.2%,"49Ranked #28,872",49,"Ranked #28,872",1.96 | pDev: 39.29%,1.96,39.29%,737,"2,753",Active,"May 19, 2002"
Bud Light & Clamato Chelada,Anheuser-Busch,"Missouri, United States",Fruit and Field BeerRanked #423,Fruit and Field Beer,Ranked #423, 4.2%,"49Ranked #28,871",49,"Ranked #28,871",1.93 | pDev: 53.37%,1.93,53.37%,178,461,Active,"Jun 26, 2007"
Corona Light,Grupo Modelo S.A. de C.V.,Mexico,Light LagerRanked #160,Light Lager,Ranked #160, 4.1%,"49Ranked #28,870",49,"Ranked #28,870",1.98 | pDev: 37.88%,1.98,37.88%,443,"2,187",Active,"Aug 17, 2001"
Keystone Lager,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #307,American Adjunct Lager,Ranked #307, 4.9%,"50Ranked #28,869",50,"Ranked #28,869",1.9 | pDev: 32.11%,1.9,32.11%,24,148,Active,"Nov 16, 2010"
Carlton Cold,"Carlton & United Breweries, Ltd.",Australia,Light LagerRanked #165,Light Lager,Ranked #165, 3.5%,"50Ranked #28,868",50,"Ranked #28,868",1.66 | pDev: 31.33%,1.66,31.33%,30,51,Active,"Feb 24, 2002"
Sleeman Clear,Sleeman Breweries Ltd.,"Ontario, Canada",Light LagerRanked #162,Light Lager,Ranked #162, 4%,"51Ranked #28,867",51,"Ranked #28,867",1.85 | pDev: 40.54%,1.85,40.54%,46,90,Active,"Sep 14, 2003"
Red Dog,Miller Brewing Co.,"Wisconsin, United States",American Adjunct LagerRanked #306,American Adjunct Lager,Ranked #306, 4.8%,"51Ranked #28,866",51,"Ranked #28,866",2.04 | pDev: 39.71%,2.04,39.71%,205,802,Active,"Aug 14, 2001"
Coors Light,Coors Brewing Company (Molson-Coors),"Colorado, United States",Light LagerRanked #159,Light Lager,Ranked #159, 4.2%,"51Ranked #28,865",51,"Ranked #28,865",2.06 | pDev: 36.89%,2.06,36.89%,"1,447","5,742",Active,"May 07, 2001"
Keystone Ice,Molson Coors Canada,"Ontario, Canada",American Adjunct LagerRanked #309,American Adjunct Lager,Ranked #309, 5.5%,"51Ranked #28,864",51,"Ranked #28,864",1.72 | pDev: 27.91%,1.72,27.91%,4,53,Active,"Nov 14, 2012"
O'Doul's,Anheuser-Busch,"Missouri, United States",Low-Alcohol BeerRanked #127,Low-Alcohol Beer,Ranked #127, 0.5%,"51Ranked #28,863",51,"Ranked #28,863",2.04 | pDev: 38.24%,2.04,38.24%,202,668,Active,"Aug 29, 2002"
Budweiser Select,Anheuser-Busch,"Missouri, United States",Light LagerRanked #158,Light Lager,Ranked #158, 4.3%,"51Ranked #28,862",51,"Ranked #28,862",2.08 | pDev: 32.21%,2.08,32.21%,435,"1,362",Active,"Nov 13, 2004"
